lemma,lemma_normalized,pos,gloss,example,example_english,source_url,source_name,flags
dupak,dupak,adjective,"dirty, foul, obscene, smutty",,,https://en.wiktionary.org/wiki/dupak,wiktionary,
dutan-on,dutan-on,adjective,"earthly, worldly",,,https://en.wiktionary.org/wiki/dutan-on,wiktionary,
enkantado,enkantado,adjective,magical,,,https://en.wiktionary.org/wiki/enkantado,wiktionary,
gabuk,gabuk,adjective,"rotten, decayed, decomposed",,,https://en.wiktionary.org/wiki/gabuk,wiktionary,
gago,gago,adjective,jerk; bastard,,,https://en.wiktionary.org/wiki/gago,wiktionary,
gamay,gamay,adjective,Alternative letter-case form of Gamay.,,,https://en.wiktionary.org/wiki/gamay,wiktionary,
gambal,gambal,adjective,bulky,,,https://en.wiktionary.org/wiki/gambal,wiktionary,
garot,garot,adjective,dense,,,https://en.wiktionary.org/wiki/garot,wiktionary,
gastado,gastado,adjective,past participle of gastar,,,https://en.wiktionary.org/wiki/gastado,wiktionary,
ginsugoran,ginsugoran,adjective,elementary,,,https://en.wiktionary.org/wiki/ginsugoran,wiktionary,
gipak,gipak,adjective,broken,,,https://en.wiktionary.org/wiki/gipak,wiktionary,
gulang,gulang,adjective,mature (fruits) Antonym: linghod,,,https://en.wiktionary.org/wiki/gulang,wiktionary,
gutok,gutok,adjective,"(of a container, clothing, etc.) filled to the point tightness",,,https://en.wiktionary.org/wiki/gutok,wiktionary,
gutom,gutom,adjective,hungry; famished,,,https://en.wiktionary.org/wiki/gutom,wiktionary,
habal,habal,adjective,to mate; to copulate,,,https://en.wiktionary.org/wiki/habal,wiktionary,
halampangan,halampangan,adjective,trifling,,,https://en.wiktionary.org/wiki/halampangan,wiktionary,
halandumon,halandumon,adjective,desirable,,,https://en.wiktionary.org/wiki/halandumon,wiktionary,
halang,halang,adjective,hot; pungent; spicy,,,https://en.wiktionary.org/wiki/halang,wiktionary,
halog,halog,adjective,ample,,,https://en.wiktionary.org/wiki/halog,wiktionary,
handa,handa,adjective,prepared,,,https://en.wiktionary.org/wiki/handa,wiktionary,
hanlug,hanlug,adjective,slippery,,,https://en.wiktionary.org/wiki/hanlug,wiktionary,
hanluk,hanluk,adjective,alternative spelling of hánlug,,,https://en.wiktionary.org/wiki/hanluk,wiktionary,
hangaway,hangaway,adjective,"martial, warlike",,,https://en.wiktionary.org/wiki/hangaway,wiktionary,
hanginan,hanginan,adjective,well-ventilated,,,https://en.wiktionary.org/wiki/hanginan,wiktionary,
haway,haway,adjective,(Wearside) Alternative spelling of howay.,,,https://en.wiktionary.org/wiki/haway,wiktionary,
hinali,hinali,adjective,sudden,,,https://en.wiktionary.org/wiki/hinali,wiktionary,
hinlo,hinlo,adjective,"smooth, level",,,https://en.wiktionary.org/wiki/hinlo,wiktionary,
hipos,hipos,adjective,"to clean up; to collect, to gather",,,https://en.wiktionary.org/wiki/hipos,wiktionary,
hubog,hubog,adjective,drunk; inebriated,,,https://en.wiktionary.org/wiki/hubog,wiktionary,
hubu,hubu,adjective,accusative singular of huba,,,https://en.wiktionary.org/wiki/hubu,wiktionary,
hubug,hubug,adjective,alternative spelling of hubog (“drunk; intoxicated”),,,https://en.wiktionary.org/wiki/hubug,wiktionary,
hugot,hugot,adjective,suicide (usually by a hangman's noose around one's neck),,,https://en.wiktionary.org/wiki/hugot,wiktionary,
hugut,hugut,adjective,tight,,,https://en.wiktionary.org/wiki/hugut,wiktionary,
ignorante,ignorante,adjective,ignorant,,,https://en.wiktionary.org/wiki/ignorante,wiktionary,
isa pa,isa pa,adjective,"likewise, plus",,,https://en.wiktionary.org/wiki/isa_pa,wiktionary,
itom,itom,adjective,black (color/colour),,,https://en.wiktionary.org/wiki/itom,wiktionary,
